fold,auc,aupr,accuracy,f1,mcc,Sensitivity,Specificity,Precision,Recall
fold1,0.9683269476372925,0.9655197489953606,0.8406374501992032,0.7959183673469388,0.7035807683166551,0.6724137931034483,0.9851851851851852,0.975,0.6724137931034483
fold2,0.9720945083014048,0.9715269142836982,0.9083665338645418,0.8949771689497718,0.8187384314873423,0.8448275862068966,0.9629629629629629,0.9514563106796117,0.8448275862068966
fold3,0.9642401021711366,0.9557067715502691,0.9123505976095617,0.9,0.8262843295904041,0.853448275862069,0.9629629629629629,0.9519230769230769,0.853448275862069
fold4,0.971264367816092,0.9600203015132769,0.896414342629482,0.8828828828828829,0.7929447172000378,0.8448275862068966,0.9407407407407408,0.9245283018867925,0.8448275862068966
fold5,0.9491060025542785,0.9413971734279489,0.8804780876494024,0.8557692307692307,0.7708517153687192,0.7672413793103449,0.9777777777777777,0.967391304347826,0.7672413793103449
avg,0.9650063856960408,0.9588341819541106,0.8876494023904382,0.8659095299897647,0.7824799923926318,0.7965517241379311,0.9659259259259259,0.9540597987674614,0.7965517241379311
