fold,auc,accuracy,mcc,f1,pr_auc,Sensitivity,Specificity,Precision,Recall
fold1,0.6520291813988136,0.617954484949188,0.26293190163716734,0.5171505610885768,0.6415231012449285,0.4069426666691013,0.8313052821640423,0.7092213251696957,0.4069426666691013
fold2,0.6286233621621065,0.601320101715765,0.24272924695987955,0.458977917415169,0.62777613277285,0.33636747088049634,0.8692096231351067,0.722246399824353,0.33636747088049634
fold3,0.6836875292457302,0.626925301337544,0.2843178889348704,0.5254169595874429,0.6686503875768329,0.4107717056478781,0.845474870442885,0.7288319547983062,0.4107717056478781
fold4,0.7645815364761874,0.7160808218046286,0.4407255739488092,0.6882241814871641,0.7478104476571031,0.6232970636730655,0.8098930496092517,0.7682507173802959,0.6232970636730655
fold5,0.8019330096564113,0.7435211280535384,0.48703450930086445,0.7446334964878366,0.8002118847046218,0.7437775834144364,0.7432618299907875,0.7454913817400503,0.7437775834144364
avg,0.7061709237878498,0.6611603675721327,0.3435478241563182,0.586880623213238,0.6971943907912672,0.5042312980569955,0.8198289310684146,0.7348083557825402,0.5042312980569955
SD,0.07421696635150311,0.06406870654081889,0.11203062256183242,0.12263324538098713,0.07400597342512806,0.1717098694420613,0.04792993922815025,0.02280753622515105,0.1717098694420613
