fold,auc,accuracy,mcc,f1,pr_auc,Sensitivity,Specificity,Precision,Recall
fold1,0.7255186550893364,0.6849115495129945,0.37403897182732265,0.6629653596549024,0.7192977934912194,0.6163985852458747,0.7541839517181664,0.7171430270945484,0.6163985852458747
fold2,0.7592272364822807,0.6981896797055016,0.3979258876578627,0.6872969901033418,0.7496027777431158,0.6597194959618885,0.7370862895617674,0.7172806467238956,0.6597194959618885
fold3,0.7650409003627385,0.7074643581716866,0.41626399179163603,0.6980726265981698,0.742685138281139,0.6726509475821545,0.7426636610523711,0.7254913159330325,0.6726509475821545
fold4,0.7605374103455242,0.7073101321019728,0.43023532923491686,0.6656270057345655,0.7492361652066543,0.5794557542403366,0.8365817229850107,0.7819045530590674,0.5794557542403366
fold5,0.7544625119329597,0.7055934490640864,0.4195670811438738,0.6763326174366593,0.7357984156516889,0.611817250578373,0.80040911801467,0.7560579906357534,0.611817250578373
avg,0.7529573428425679,0.7006938337112483,0.4076062523311224,0.6780589199055278,0.7393240580747635,0.6280084067217254,0.7741849486663972,0.7395755066892594,0.6280084067217254
SD,0.01579500294045528,0.009604333895034225,0.022082599374847113,0.01475837531510749,0.012536748318781057,0.037923776151020105,0.042869005302507576,0.028557231109317488,0.037923776151020105
