fold,auc,accuracy,mcc,f1,aupr,Sensitivity,Specificity,Precision,Recall
fold1,0.7038143192111774,0.6593788728644738,0.3342853201000086,0.6038533975068009,0.6904790700720537,0.5163688220911994,0.8039741310396139,0.727028493126737,0.5163688220911994
fold2,0.6951394182778964,0.6415997282683533,0.3051824798197456,0.565397584138268,0.67409029435407,0.46370629792004847,0.8214650338870089,0.7242197481292206,0.46370629792004847
fold3,0.7314254362051313,0.6765704895759701,0.36617451869570017,0.6314793023195001,0.7081454960158527,0.5511752794175917,0.8033556538964983,0.7391739803314658,0.5511752794175917
fold4,0.7325859731634816,0.6757635567469316,0.3665770255988469,0.6264663454420082,0.7168462890036771,0.5408074762123007,0.8122155697466829,0.7443671759351179,0.5408074762123007
fold5,0.7477103394832414,0.6951042402989048,0.39841874153920714,0.6643469578329083,0.7281696316588971,0.600162145284366,0.7910987292602459,0.7439043987008725,0.600162145284366
avg,0.7221350972681856,0.6696833775509268,0.3541276171507017,0.6183087174478971,0.70354615622091,0.5344440041851012,0.80642182356601,0.7357387592446828,0.5344440041851012
sd,0.021874881780605558,0.02015871602937724,0.03553576553184057,0.03663357435743635,0.02146368759075272,0.04992453983778359,0.011292204012251282,0.009506370747437161,0.04992453983778359
