fold,auc,accuracy,mcc,f1,pr_auc,Sensitivity,Specificity,Precision,Recall
fold1,0.8873762367580407,0.8066154502774221,0.6143771037256718,0.8117182630376065,0.8803492257810022,0.8359294762067785,0.7774561552869061,0.7888700428075277,0.8359294762067785
fold2,0.8838331511807642,0.8041399914639351,0.6084181933872376,0.8055590864793863,0.876167299338241,0.8135912358781239,0.7947386344287417,0.797683980867668,0.8135912358781239
fold3,0.8860172478245888,0.8017498932991891,0.6055886087164701,0.8090127873031537,0.8808143638945178,0.8420061622731941,0.7617061127192236,0.7785075571733797,0.8420061622731941
fold4,0.8797722219479264,0.7984208279982928,0.5987341244604637,0.8054697475184316,0.8712862568100059,0.8368709346114345,0.7601736761450707,0.7763398173878523,0.8368709346114345
fold5,0.8833436811226187,0.7993171148100725,0.5999569005182317,0.8051065240819034,0.8766110787038823,0.8312221841834988,0.767580452920143,0.7805819000160746,0.8312221841834988
avg,0.8840685077667878,0.8020486555697823,0.6054149861616149,0.8073732816840963,0.8770456449055297,0.8319239986306061,0.772331006300017,0.7843966596505004,0.8319239986306061
SD,0.002905920556230196,0.003388989762032481,0.006399092936189828,0.0028991282407396673,0.0038486289562907334,0.010940164345023871,0.014244523052805325,0.00881349374960682,0.010940164345023871
