fold,auc,accuracy,mcc,f1,pr_auc,Sensitivity,Specificity,Precision,Recall
fold1,0.9015968010670689,0.8204438753734529,0.6411394729283386,0.8223470292639669,0.8972335791446615,0.8333618623758987,0.8075940745785799,0.8116195715595566,0.8333618623758987
fold2,0.9039738330727781,0.8199743918053777,0.6401398195269612,0.8171017257826728,0.899470796076143,0.8064019171516604,0.8334752256087179,0.8280892951309545,0.8064019171516604
fold3,0.9041367808794071,0.8200170721297482,0.6400522134251083,0.8186626531928618,0.8985114524699379,0.8147038685381719,0.825302230546569,0.8226600985221675,0.8147038685381719
fold4,0.9004213807108385,0.8142125480153649,0.6284487667386498,0.8127016909771525,0.8950161639661901,0.8082848339609723,0.8201089732674953,0.8171670848836203,0.8082848339609723
fold5,0.8992124060618245,0.8113956466069142,0.6228862693400556,0.8090402316235253,0.8938587815628927,0.8011811023622047,0.8215562744764175,0.8170550754996945,0.8011811023622047
avg,0.9018682403583835,0.8172087067861715,0.6345333083918228,0.8159706661680358,0.8968181546439651,0.8127867168777817,0.8216073556955559,0.8193182251191986,0.8127867168777817
SD,0.002167967637776214,0.004146410536359856,0.008339782004959133,0.005193775555874557,0.0023495425643459858,0.012477329325431894,0.00939572034619287,0.006267342023086213,0.012477329325431894
