fold,auc,accuracy,mcc,f1,pr_auc,Sensitivity,Specificity,Precision,Recall
fold1,0.898182391284237,0.8178403755868544,0.6359908621812865,0.8200522809680411,0.8932214937517615,0.8323348168435467,0.8034224416822748,0.8081269735748712,0.8323348168435467
fold2,0.8985491240384089,0.8173282116944088,0.6346771122768018,0.8174995735971344,0.8928462157378838,0.8204382060938035,0.8142346330665758,0.8145819170632222,0.8204382060938035
fold3,0.8947470401251923,0.8085787451984635,0.6171586886541834,0.8075355104492984,0.8890231069975143,0.8052892844916124,0.8118508428401158,0.8097943024356657,0.8052892844916124
fold4,0.8929600281153642,0.8087067861715749,0.6174103459541087,0.8081335616438357,0.8862125687268966,0.8078568983224923,0.8095521879788864,0.8084104145255224,0.8078568983224923
fold5,0.8906897942137447,0.8058472044387537,0.6117025985104272,0.8057725972417915,0.8848864626162164,0.8076001369394044,0.8041035246041206,0.8039533100451564,0.8076001369394044
avg,0.8950256755553895,0.8116602646180111,0.6233879215153616,0.8117987047800203,0.8892379695660546,0.8147038685381718,0.8086327260343946,0.8089733835288877,0.8147038685381718
SD,0.0033735718261033343,0.005530141525366767,0.011150801168928737,0.006491215166167393,0.0037756699494943978,0.011507729596668818,0.004749836235750014,0.0038198179913554705,0.011507729596668818
