fold,auc,accuracy,mcc,f1,pr_auc,Sensitivity,Specificity,Precision,Recall
fold1,0.8912365033048902,0.8103286384976526,0.6220509743037002,0.8158614402917047,0.8840218496144698,0.842605272167066,0.7782223735739826,0.7907630522088354,0.842605272167066
fold2,0.8981685032316755,0.8152795561246265,0.6305583979004449,0.814376393892606,0.8932861082460115,0.812564190345772,0.8179805891367274,0.8161966987620357,0.812564190345772
fold3,0.8959505134732182,0.8117370892018779,0.6234709603823242,0.8111648615094825,0.8891568624028006,0.8108524477918521,0.8126170611271922,0.8114775160599572,0.8108524477918521
fold4,0.8930015465432215,0.8085787451984635,0.6173231067266385,0.8101426575794777,0.886593928436721,0.8189832249229716,0.7982291844032011,0.8014909121366949,0.8189832249229716
fold5,0.8941417002811944,0.8070422535211268,0.6140969232941091,0.8070669568557163,0.8895769871847035,0.8093118794933242,0.8047846075259663,0.8048344539960848,0.8093118794933242
avg,0.89449975336684,0.8105932565087496,0.6215000725214433,0.8117224620257975,0.8885271471769413,0.8188634029441972,0.802366763153414,0.8049525266327215,0.8188634029441972
SD,0.0026732965193877,0.003162580356639623,0.006294736137021021,0.0034876540916629517,0.003470643189253727,0.013772960770546268,0.015449735012904649,0.009776819452049924,0.013772960770546268
