fold,auc,accuracy,mcc,f1,pr_auc,Sensitivity,Specificity,Precision,Recall
fold1,0.8963709549553183,0.8103713188220231,0.6248112804003569,0.8200121531294308,0.8918229996942975,0.8662273194111606,0.7548101481355355,0.7784785785708792,0.8662273194111606
fold2,0.8952348415768131,0.8144259496372173,0.6288894989661757,0.8127153687112336,0.8897027992047986,0.8074289626840123,0.821386003745956,0.8180714533472078,0.8074289626840123
fold3,0.9011725742526988,0.8197609901835254,0.640098273791125,0.8229275860623088,0.8946817655584282,0.8398664840807942,0.799761620977354,0.8066584463625154,0.8398664840807942
fold4,0.8954128214151498,0.8094323516858728,0.6189204543751583,0.8100888945599932,0.8891027567789027,0.8150462170489559,0.8038481185084284,0.8051915109495222,0.8150462170489559
fold5,0.8982751993248861,0.8149807938540333,0.6303541731502453,0.8175888912265937,0.8917842551707461,0.8314789455665867,0.798569725864124,0.8041552851585134,0.8314789455665867
avg,0.8972932783049732,0.8137942808365344,0.6286147361366123,0.816666578737912,0.8914189152814347,0.832009585758302,0.7956751234462796,0.8025110548777276,0.832009585758302
SD,0.0024817869660301553,0.0041276971156475285,0.007800931790620143,0.005246945084320043,0.002193888897304124,0.023047931768873226,0.02461133685137194,0.014549700272388723,0.023047931768873226
