Method,ROC_AUC,PR_AUC,Accuracy,F1-score,MCC,Precision,Recall
DLpTCR,0.5960±0.0025,0.5736±0.0080,0.5388±0.0045,0.3063±0.0364,0.1050±0.0121,0.6193±0.0216,0.2050±0.0356
ERGO-II,0.4596±0.0472,0.4658±0.0335,0.4775±0.0312,0.2874±0.1639,-0.0591±0.0689,0.4331±0.0644,0.2436±0.1942
PanPep,0.5472±0.0096,0.5284±0.0064,0.5153±0.0053,0.3146±0.0620,0.0386±0.0141,0.5392±0.0166,0.2276±0.0709
T-SCAPE,0.6138±0.0052,0.6102±0.0067,0.5665±0.0066,0.3933±0.0325,0.1618±0.0101,0.6548±0.0105,0.2822±0.0337
UniPMT,0.6043±0.0208,0.6021±0.0189,0.5800±0.0208,0.4719±0.0882,0.1755±0.0317,0.6332±0.0201,0.3886±0.1202
UnifyImmun,0.6090±0.0160,0.5999±0.0099,0.5685±0.0076,0.4274±0.0324,0.1574±0.0133,0.6349±0.0100,0.3235±0.0379
AntigenLM,0.6748±0.0045,0.6642±0.0042,0.6268±0.0033,0.6135±0.0082,0.2543±0.0070,0.6363±0.0078,0.5927±0.0202
