Method,ROC_AUC,PR_AUC,Accuracy,F1-score,MCC,Precision,Recall
DLpTCR,0.8739±0.0013,0.8914±0.0012,0.7769±0.0018,0.7700±0.0075,0.5554±0.0033,0.7947±0.0167,0.7478±0.0282
ERGO-II,0.6174±0.0229,0.6526±0.0324,0.5903±0.0259,0.5227±0.0528,0.1985±0.0682,0.6474±0.0848,0.4610±0.1236
PanPep,0.7960±0.0052,0.8142±0.0060,0.7116±0.0042,0.7017±0.0087,0.4243±0.0077,0.7266±0.0053,0.6787±0.0191
T-SCAPE,0.8671±0.0022,0.8862±0.0020,0.7698±0.0018,0.7564±0.0103,0.5452±0.0082,0.8052±0.0327,0.7169±0.0455
UniPMT,0.8364±0.0015,0.8574±0.0010,0.7432±0.0013,0.7280±0.0123,0.4906±0.0035,0.7747±0.0238,0.6887±0.0407
UnifyImmun,0.8723±0.0010,0.8907±0.0008,0.7783±0.0012,0.7733±0.0059,0.5576±0.0021,0.7913±0.0144,0.7569±0.0235
AntigenLM,0.8923±0.0016,0.9082±0.0012,0.7983±0.0029,0.7958±0.0020,0.5970±0.0065,0.8059±0.0149,0.7865±0.0165
