setting,method,eval,fold_count,n_total,source_file,accuracy_mean,accuracy_sd,accuracy_mean_sd,precision_mean,precision_sd,precision_mean_sd,recall_mean,recall_sd,recall_mean_sd,f1_mean,f1_sd,f1_mean_sd,auroc_mean,auroc_sd,auroc_mean_sd,auprc_mean,auprc_sd,auprc_mean_sd
HS,ERGO-II,test,5,152264,/home/dataset-assist-0/hpfs/AntigenLM/pTCR2/cv_results/CDR3_only_seen/HS/ERGO-II/test_metrics.csv,0.6430756465750652,0.0058891298252309,0.6431 +/- 0.0059,0.6781304446846155,0.0247658345121903,0.6781 +/- 0.0248,0.5508543884553082,0.0595193269928517,0.5509 +/- 0.0595,0.605326754637354,0.0306756768910751,0.6053 +/- 0.0307,0.7059265233155902,0.0072252351225816,0.7059 +/- 0.0072,0.7061999985539639,0.0082947538629119,0.7062 +/- 0.0083
HS,ERGO-II,seen_independent,5,29410,/home/dataset-assist-0/hpfs/AntigenLM/pTCR2/cv_results/CDR3_only_seen/HS/ERGO-II/seen_independent_metrics.csv,0.64957497449847,0.0026972213431913,0.6496 +/- 0.0027,0.6871375607162664,0.0273120550071655,0.6871 +/- 0.0273,0.556001360081605,0.0607588010294675,0.5560 +/- 0.0608,0.6118953413736862,0.0293045127284723,0.6119 +/- 0.0293,0.7039708740905957,0.0021479397038364,0.7040 +/- 0.0021,0.7208286939456349,0.0031919382709928,0.7208 +/- 0.0032
HS,ERGO-II,unseen_independent,5,15810,/home/dataset-assist-0/hpfs/AntigenLM/pTCR2/cv_results/CDR3_only_seen/HS/ERGO-II/unseen_independent_metrics.csv,0.6407337128399746,0.0103159433461733,0.6407 +/- 0.0103,0.6798457774868608,0.0228946122923353,0.6798 +/- 0.0229,0.5372549019607843,0.0634494045299861,0.5373 +/- 0.0634,0.5975285393454508,0.0356186998732334,0.5975 +/- 0.0356,0.6866056879588056,0.0067391780488172,0.6866 +/- 0.0067,0.6980051212541647,0.0083830545486005,0.6980 +/- 0.0084
HS,PanPep,test,5,152264,/home/dataset-assist-0/hpfs/AntigenLM/pTCR2/cv_results/CDR3_only_seen/HS/PanPep/test_metrics.csv,0.589596391323657,0.0117224145824325,0.5896 +/- 0.0117,0.5902569582552839,0.0108074499227352,0.5903 +/- 0.0108,0.5855246709320484,0.0186011990476942,0.5855 +/- 0.0186,0.587841137981951,0.0141911224667608,0.5878 +/- 0.0142,0.6230769178244857,0.0140112167934886,0.6231 +/- 0.0140,0.6106839701666212,0.0137330839663938,0.6107 +/- 0.0137
HS,PanPep,seen_independent,5,29410,/home/dataset-assist-0/hpfs/AntigenLM/pTCR2/cv_results/CDR3_only_seen/HS/PanPep/seen_independent_metrics.csv,0.5977218633117987,0.0124557274720949,0.5977 +/- 0.0125,0.5980426942146672,0.0122452289160982,0.5980 +/- 0.0122,0.5965997959877593,0.0391426842775524,0.5966 +/- 0.0391,0.5968188207771545,0.0208283008831399,0.5968 +/- 0.0208,0.6337307984143788,0.0175337202530495,0.6337 +/- 0.0175,0.6278164979812187,0.0118319573923084,0.6278 +/- 0.0118
HS,PanPep,unseen_independent,5,15810,/home/dataset-assist-0/hpfs/AntigenLM/pTCR2/cv_results/CDR3_only_seen/HS/PanPep/unseen_independent_metrics.csv,0.583807716635041,0.0105175769439063,0.5838 +/- 0.0105,0.5849054453823792,0.0132646925316919,0.5849 +/- 0.0133,0.5806451612903226,0.050581115682542,0.5806 +/- 0.0506,0.5816676799136203,0.0236019910722429,0.5817 +/- 0.0236,0.6219141681279232,0.0100059604486253,0.6219 +/- 0.0100,0.6103047045396808,0.0144655751758552,0.6103 +/- 0.0145
HS,T-SCAPE,test,5,152264,/home/dataset-assist-0/hpfs/AntigenLM/pTCR2/cv_results/CDR3_only_seen/HS/T-SCAPE/test_metrics.csv,0.633720965616054,0.1220727782715443,0.6337 +/- 0.1221,0.6708192668101182,0.1561165390648606,0.6708 +/- 0.1561,0.7688089912510211,0.2113932235578059,0.7688 +/- 0.2114,0.6801686082807679,0.0131789860125869,0.6802 +/- 0.0132,0.6817045491220063,0.1658759704336381,0.6817 +/- 0.1659,0.6949297555545721,0.1779483335571825,0.6949 +/- 0.1779
HS,T-SCAPE,seen_independent,5,29410,/home/dataset-assist-0/hpfs/AntigenLM/pTCR2/cv_results/CDR3_only_seen/HS/T-SCAPE/seen_independent_metrics.csv,0.6134648078884734,0.1036200387706865,0.6135 +/- 0.1036,0.6589082851115247,0.1454282757066783,0.6589 +/- 0.1454,0.7279836790207412,0.2485058357377728,0.7280 +/- 0.2485,0.6491105620957087,0.0166062581947937,0.6491 +/- 0.0166,0.6555875549064736,0.1420433713825147,0.6556 +/- 0.1420,0.6754971688571537,0.1602192010941505,0.6755 +/- 0.1602
HS,T-SCAPE,unseen_independent,5,15810,/home/dataset-assist-0/hpfs/AntigenLM/pTCR2/cv_results/CDR3_only_seen/HS/T-SCAPE/unseen_independent_metrics.csv,0.6104996837444656,0.1008829378322755,0.6105 +/- 0.1009,0.6647272322143605,0.1506293647787907,0.6647 +/- 0.1506,0.7120809614168249,0.2632459853589616,0.7121 +/- 0.2632,0.6398856955346364,0.0256201822149761,0.6399 +/- 0.0256,0.6439050697302446,0.1313805409850476,0.6439 +/- 0.1314,0.6686591810895957,0.1539662138038975,0.6687 +/- 0.1540
HS,UniPMT,test,5,152264,/home/dataset-assist-0/hpfs/AntigenLM/pTCR2/cv_results/CDR3_only_seen/HS/UniPMT/test_metrics.csv,0.6576354739686072,0.0016834620025128,0.6576 +/- 0.0017,0.6767701201088272,0.0149296740618726,0.6768 +/- 0.0149,0.6063313534082637,0.0429050357406724,0.6063 +/- 0.0429,0.638528736239083,0.0168436836204716,0.6385 +/- 0.0168,0.7202491979316376,0.0028490938403074,0.7202 +/- 0.0028,0.7212439707363534,0.0026680694999275,0.7212 +/- 0.0027
HS,UniPMT,seen_independent,5,29410,/home/dataset-assist-0/hpfs/AntigenLM/pTCR2/cv_results/CDR3_only_seen/HS/UniPMT/seen_independent_metrics.csv,0.6228833730023802,0.0098146109879039,0.6229 +/- 0.0098,0.6469452101887595,0.0184879431435389,0.6469 +/- 0.0185,0.544576674600476,0.0479854205335401,0.5446 +/- 0.0480,0.5899829841325643,0.0243915185031667,0.5900 +/- 0.0244,0.6748898344305282,0.0119333081728756,0.6749 +/- 0.0119,0.6719164746340874,0.0119025771053767,0.6719 +/- 0.0119
HS,UniPMT,unseen_independent,5,15810,/home/dataset-assist-0/hpfs/AntigenLM/pTCR2/cv_results/CDR3_only_seen/HS/UniPMT/unseen_independent_metrics.csv,0.6035420619860847,0.0035471410228487,0.6035 +/- 0.0035,0.6305431652793528,0.0158688116019283,0.6305 +/- 0.0159,0.5055028462998102,0.0597168837787955,0.5055 +/- 0.0597,0.5589324555765024,0.0298680539572826,0.5589 +/- 0.0299,0.6355220376698149,0.0041038894754919,0.6355 +/- 0.0041,0.6296261816495929,0.0020325824359635,0.6296 +/- 0.0020
HS,UnifyImmun,test,5,152264,/home/dataset-assist-0/hpfs/AntigenLM/pTCR2/cv_results/CDR3_only_seen/HS/UnifyImmun/test_metrics.csv,0.6694797911890263,0.0026765988055804,0.6695 +/- 0.0027,0.688188936541444,0.0233320398438808,0.6882 +/- 0.0233,0.6252401859375437,0.0544246795437075,0.6252 +/- 0.0544,0.6533417117690553,0.0180890891437334,0.6533 +/- 0.0181,0.7359181583558418,0.0052741361865798,0.7359 +/- 0.0053,0.7363791944132345,0.006375403023024,0.7364 +/- 0.0064
HS,UnifyImmun,seen_independent,5,29410,/home/dataset-assist-0/hpfs/AntigenLM/pTCR2/cv_results/CDR3_only_seen/HS/UnifyImmun/seen_independent_metrics.csv,0.6510370622237334,0.005306660831118,0.6510 +/- 0.0053,0.677739208732073,0.0265680344023958,0.6777 +/- 0.0266,0.5836110166609996,0.0628415288858706,0.5836 +/- 0.0628,0.6245174531358441,0.0241738983121996,0.6245 +/- 0.0242,0.7129974503672531,0.0017974021849228,0.7130 +/- 0.0018,0.7194988944704633,0.0022158757961919,0.7195 +/- 0.0022
HS,UnifyImmun,unseen_independent,5,15810,/home/dataset-assist-0/hpfs/AntigenLM/pTCR2/cv_results/CDR3_only_seen/HS/UnifyImmun/unseen_independent_metrics.csv,0.641808981657179,0.0042229292556104,0.6418 +/- 0.0042,0.6662474077059228,0.0250904457932048,0.6662 +/- 0.0251,0.5758380771663505,0.0600928791011317,0.5758 +/- 0.0601,0.6153373503416546,0.0220744786781364,0.6153 +/- 0.0221,0.688079786810564,0.0079341315481046,0.6881 +/- 0.0079,0.6935204289663572,0.0077918007734325,0.6935 +/- 0.0078
PS,DLpTCR,test,5,152264,/home/dataset-assist-0/hpfs/AntigenLM/pTCR2/cv_results/CDR3_only_seen/PS/DLpTCR/test_metrics.csv,0.6895107850881612,0.0030447082028519,0.6895 +/- 0.0030,0.7040874235409902,0.0122447234431845,0.7041 +/- 0.0122,0.6549685909709904,0.0256025994681158,0.6550 +/- 0.0256,0.6782201114367794,0.0091669146179633,0.6782 +/- 0.0092,0.7603806165825558,0.005893044957438,0.7604 +/- 0.0059,0.7696683872279788,0.0063427854443003,0.7697 +/- 0.0063
PS,DLpTCR,seen_independent,5,29410,/home/dataset-assist-0/hpfs/AntigenLM/pTCR2/cv_results/CDR3_only_seen/PS/DLpTCR/seen_independent_metrics.csv,0.64039442366542,0.0065794167287913,0.6404 +/- 0.0066,0.6634533495008135,0.0051588248463783,0.6635 +/- 0.0052,0.5702142128527712,0.0298879673389668,0.5702 +/- 0.0299,0.6129146280550181,0.0166775192746707,0.6129 +/- 0.0167,0.6919346259041439,0.005330474591255,0.6919 +/- 0.0053,0.6871801383675746,0.0057253655549072,0.6872 +/- 0.0057
PS,DLpTCR,unseen_independent,5,15810,/home/dataset-assist-0/hpfs/AntigenLM/pTCR2/cv_results/CDR3_only_seen/PS/DLpTCR/unseen_independent_metrics.csv,0.5509803921568628,0.0136730694767765,0.5510 +/- 0.0137,0.5567344803340932,0.017936506346516,0.5567 +/- 0.0179,0.512460468058191,0.0835865232302769,0.5125 +/- 0.0836,0.5301529659280322,0.0439157041925586,0.5302 +/- 0.0439,0.5715604860213453,0.0126954431576138,0.5716 +/- 0.0127,0.5572114298864749,0.0090334238877423,0.5572 +/- 0.0090
