Method,ROC_AUC,PR_AUC,Accuracy,F1-score,MCC,Precision,Recall
DLpTCR,0.7026±0.0183,0.6852±0.0177,0.6343±0.0235,0.6690±0.0207,0.2748±0.0474,0.6112±0.0206,0.7392±0.0263
ERGO-II,0.7004±0.0586,0.6838±0.0591,0.6522±0.0529,0.6701±0.0333,0.3093±0.1036,0.6459±0.0645,0.7053±0.0703
PanPep,0.6738±0.0321,0.6310±0.0185,0.6270±0.0291,0.6826±0.0247,0.2713±0.0616,0.5942±0.0220,0.8021±0.0311
T-SCAPE,0.7872±0.0113,0.7542±0.0103,0.7013±0.0171,0.7387±0.0122,0.4201±0.0328,0.6570±0.0163,0.8438±0.0118
UniPMT,0.6534±0.0290,0.6536±0.0223,0.5966±0.0276,0.6051±0.0226,0.1939±0.0546,0.5943±0.0305,0.6187±0.0421
UnifyImmun,0.7568±0.0117,0.7413±0.0073,0.6696±0.0193,0.7133±0.0146,0.3562±0.0383,0.6303±0.0174,0.8221±0.0208
AntigenLM,0.8066±0.0060,0.7769±0.0102,0.6919±0.0110,0.7426±0.0061,0.4174±0.0183,0.6380±0.0109,0.8884±0.0050
