Method,ROC_AUC,PR_AUC,Accuracy,F1-score,MCC,Precision,Recall
AntigenLM,0.6728±0.0029,0.6623±0.0032,0.6237±0.0018,0.6118±0.0246,0.2491±0.0038,0.6325±0.0159,0.5959±0.0589
ESM2,0.6452±0.0195,0.6431±0.0184,0.6053±0.0123,0.5499±0.0451,0.2182±0.0210,0.6394±0.0165,0.4877±0.0788
ESMC,0.6726±0.0030,0.6512±0.0040,0.6249±0.0072,0.6150±0.0280,0.2510±0.0125,0.6315±0.0089,0.6021±0.0568
