Method,ROC_AUC,PR_AUC,Accuracy,F1-score,MCC,Precision,Recall
AntigenLM,0.8885±0.0009,0.9046±0.0007,0.7931±0.0016,0.7934±0.0013,0.5864±0.0031,0.7923±0.0074,0.7947±0.0093
ESM2,0.8404±0.0181,0.8679±0.0146,0.7532±0.0167,0.7413±0.0146,0.5093±0.0349,0.7803±0.0304,0.7071±0.0225
ESMC,0.8751±0.0023,0.8934±0.0018,0.7794±0.0035,0.7791±0.0033,0.5590±0.0073,0.7804±0.0124,0.7782±0.0152
