Method,ROC_AUC,PR_AUC,Accuracy,F1-score,MCC,Precision,Recall
DLpTCR,0.8659±0.0018,0.8840±0.0016,0.7690±0.0024,0.7620±0.0064,0.5394±0.0045,0.7861±0.0117,0.7400±0.0214
ERGO-II,0.6160±0.0201,0.6500±0.0255,0.5861±0.0236,0.5262±0.0225,0.1820±0.0547,0.6247±0.0524,0.4627±0.0576
PanPep,0.7858±0.0035,0.8050±0.0036,0.7039±0.0021,0.6911±0.0102,0.4098±0.0028,0.7226±0.0104,0.6632±0.0276
T-SCAPE,0.8608±0.0014,0.8806±0.0010,0.7638±0.0019,0.7438±0.0104,0.5349±0.0023,0.8131±0.0206,0.6870±0.0321
UniPMT,0.8276±0.0012,0.8487±0.0015,0.7350±0.0019,0.7258±0.0049,0.4717±0.0050,0.7525±0.0139,0.7017±0.0214
UnifyImmun,0.8747±0.0015,0.8924±0.0014,0.7799±0.0020,0.7765±0.0010,0.5602±0.0042,0.7889±0.0088,0.7647±0.0100
AntigenLM,0.8885±0.0009,0.9046±0.0007,0.7931±0.0016,0.7934±0.0013,0.5864±0.0031,0.7923±0.0074,0.7947±0.0093
