Method,ROC_AUC,PR_AUC,Accuracy,F1-score,MCC,Precision,Recall
AntigenLM,0.9110±0.0022,0.9067±0.0018,0.8335±0.0045,0.8352±0.0034,0.6673±0.0087,0.8262±0.0096,0.8446±0.0063
esm2,0.8896±0.0011,0.8838±0.0021,0.8058±0.0026,0.8150±0.0024,0.6154±0.0024,0.7778±0.0141,0.8566±0.0223
esmc,0.8937±0.0011,0.8868±0.0020,0.8139±0.0024,0.8153±0.0062,0.6285±0.0048,0.8087±0.0140,0.8227±0.0256
