fold,auc,accuracy,mcc,f1,aupr,Sensitivity,Specificity,Precision,Recall
fold1,0.8908476718810722,0.8194278903456496,0.6401530567395437,0.8357723577235773,0.9061078364813601,0.879133409350057,0.7540574282147315,0.7964876033057852,0.879133409350057
fold2,0.8963047900500658,0.8194278903456496,0.6380779036464885,0.8311977715877438,0.9125606716873189,0.8506271379703535,0.7852684144818977,0.8126361655773421,0.8506271379703535
fold3,0.8805590788025801,0.8033373063170441,0.6058843693434047,0.8170731707317073,0.8894642672104549,0.8403648802736602,0.762796504369538,0.7950377562028047,0.8403648802736602
fold4,0.8769625197693306,0.8039332538736591,0.6078357167879517,0.8199233716475096,0.8866493907389259,0.8540478905359179,0.7490636704119851,0.7884210526315789,0.8540478905359179
fold5,0.8927943548329695,0.8283671036948749,0.6597881499926006,0.8287752675386445,0.9089814992279633,0.7947548460661346,0.8651685393258427,0.8658385093167702,0.7947548460661346
avg,0.8874936830672036,0.8148986889153754,0.6303478393019979,0.8265483878458365,0.9007527330692046,0.8437856328392247,0.783270911360799,0.8116842174068563,0.8437856328392247
sd,0.008306264279277244,0.010912514159254632,0.02306450248666309,0.007831474344579101,0.011854860456672993,0.030892171457569135,0.047838205854523544,0.0315547544900132,0.030892171457569135
