Method,ROC_AUC,PR_AUC,Accuracy,F1-score,MCC,Precision,Recall
esm2,0.9730±0.0132,0.8587±0.0312,0.9455±0.0111,0.7433±0.0311,0.7279±0.0295,0.6721±0.0924,0.8610±0.1007
esmc_300m,0.9735±0.0152,0.8669±0.0186,0.9572±0.0053,0.7809±0.0268,0.7597±0.0295,0.7311±0.0294,0.8386±0.0326
AntigenLM,0.9721±0.0150,0.8803±0.0107,0.9633±0.0032,0.8009±0.0222,0.7825±0.0241,0.7911±0.0353,0.8165±0.0656
