Method,ROC_AUC,PR_AUC,Accuracy,F1-score,MCC,Precision,Recall
Antigenic,0.7740±0.0285,0.3319±0.0160,0.8393±0.0115,0.3645±0.0462,0.2997±0.0564,0.2849±0.0181,0.5163±0.1206
VaxiJen2.0,0.8285±0.0316,0.3974±0.0655,0.9103±0.0062,0.1477±0.0335,0.1958±0.0683,0.5819±0.2093,0.0851±0.0179
VaxiJen3.0,0.8691±0.0479,0.5115±0.0798,0.9254±0.0042,0.4723±0.0320,0.4589±0.0325,0.6657±0.0584,0.3680±0.0363
Vaxign-DL,0.9223±0.0229,0.7283±0.0588,0.9443±0.0098,0.6483±0.0589,0.6278±0.0633,0.7633±0.0753,0.5658±0.0603
Vaxign-ML,0.9334±0.0158,0.7303±0.0269,0.9317±0.0124,0.6737±0.0398,0.6445±0.0419,0.6027±0.0569,0.7719±0.0710
PLGDL,0.9666±0.0119,0.8252±0.0359,0.9564±0.0151,0.7671±0.0633,0.7466±0.0674,0.7648±0.1013,0.7808±0.0809
AntigenLM,0.9721±0.0168,0.8803±0.0119,0.9633±0.0036,0.8009±0.0248,0.7825±0.0269,0.7911±0.0395,0.8165±0.0734
