fold,auc,accuracy,mcc,f1,pr_auc,Sensitivity,Specificity,Precision,Recall
fold1,0.7600789246647104,0.7099971541618089,0.42872297122336495,0.6807961126004007,0.7495785166317102,0.6151258908404348,0.8059200262898941,0.7621639721087234,0.6151258908404348
fold2,0.7729957010804752,0.7277395782651404,0.45701067977391685,0.7185999070146973,0.7606325422130139,0.6914492099982288,0.7644322102896135,0.7479699687717891,0.6914492099982288
fold3,0.7810185915184699,0.7331218844956899,0.46653961357372675,0.7304551645614923,0.7936636629513574,0.7192640649165445,0.7471333122866485,0.7420000150694324,0.7192640649165445
fold4,0.7771302620238515,0.725685066693595,0.4517245362939135,0.7224424661707771,0.7648482382753911,0.7100886138586743,0.7414543997725481,0.7352337846243433,0.7100886138586743
fold5,0.768559043662334,0.7283794328519889,0.45853676338731086,0.7183636327292491,0.7847272296733405,0.6890188566931492,0.768176304755997,0.7503191400517782,0.6890188566931492
avg,0.7719565045899681,0.7249846232936445,0.4525069128504466,0.7141314566153233,0.7706900379489626,0.6849893272614064,0.7654232506789402,0.7475373761252133,0.6849893272614064
SD,0.008102295360975712,0.008809715952245148,0.01431649132978865,0.019265641990126158,0.01806797147918917,0.04105970887007802,0.025286251021331273,0.01004867389619402,0.04105970887007802
